IncomingExaminations,Year,Month,MonthStartDate
362,2006,1,2006-01-01
436,2006,2,2006-02-01
436,2006,3,2006-03-01
490,2006,4,2006-04-01
508,2006,5,2006-05-01
398,2006,6,2006-06-01
393,2006,7,2006-07-01
596,2006,8,2006-08-01
634,2006,9,2006-09-01
613,2006,10,2006-10-01
545,2006,11,2006-11-01
411,2006,12,2006-12-01
398,2007,1,2007-01-01
311,2007,2,2007-02-01
664,2007,3,2007-03-01
680,2007,4,2007-04-01
613,2007,5,2007-05-01
467,2007,6,2007-06-01
566,2007,7,2007-07-01
806,2007,8,2007-08-01
732,2007,9,2007-09-01
886,2007,10,2007-10-01
776,2007,11,2007-11-01
698,2007,12,2007-12-01
875,2008,1,2008-01-01
840,2008,2,2008-02-01
724,2008,3,2008-03-01
1115,2008,4,2008-04-01
997,2008,5,2008-05-01
775,2008,6,2008-06-01
886,2008,7,2008-07-01
1041,2008,8,2008-08-01
1011,2008,9,2008-09-01
1263,2008,10,2008-10-01
939,2008,11,2008-11-01
962,2008,12,2008-12-01
1004,2009,1,2009-01-01
1065,2009,2,2009-02-01
1263,2009,3,2009-03-01
962,2009,4,2009-04-01
1263,2009,5,2009-05-01
1429,2009,6,2009-06-01
1205,2009,7,2009-07-01
1205,2009,8,2009-08-01
1320,2009,9,2009-09-01
1276,2009,10,2009-10-01
1757,2009,11,2009-11-01
1477,2009,12,2009-12-01
1809,2010,1,2010-01-01
1843,2010,2,2010-02-01
1578,2010,3,2010-03-01
1604,2010,4,2010-04-01
1758,2010,5,2010-05-01
1604,2010,6,2010-06-01
1808,2010,7,2010-07-01
1607,2010,8,2010-08-01
1808,2010,9,2010-09-01
1866,2010,10,2010-10-01
1934,2010,11,2010-11-01
2294,2010,12,2010-12-01
2262,2011,1,2011-01-01
2334,2011,2,2011-02-01
1973,2011,3,2011-03-01
2262,2011,4,2011-04-01
2259,2011,5,2011-05-01
2217,2011,6,2011-06-01
2739,2011,7,2011-07-01
2772,2011,8,2011-08-01
3383,2011,9,2011-09-01
2869,2011,10,2011-10-01
2239,2011,11,2011-11-01
2869,2011,12,2011-12-01
2789,2012,1,2012-01-01
3455,2012,2,2012-02-01
2940,2012,3,2012-03-01
2968,2012,4,2012-04-01
3466,2012,5,2012-05-01
3037,2012,6,2012-06-01
3946,2012,7,2012-07-01
3459,2012,8,2012-08-01
3446,2012,9,2012-09-01
3258,2012,10,2012-10-01
4729,2012,11,2012-11-01
3694,2012,12,2012-12-01
4610,2013,1,2013-01-01
4841,2013,2,2013-02-01
5172,2013,3,2013-03-01
4351,2013,4,2013-04-01
5240,2013,5,2013-05-01
4729,2013,6,2013-06-01
5014,2013,7,2013-07-01
4978,2013,8,2013-08-01
5008,2013,9,2013-09-01
6094,2013,10,2013-10-01
4874,2013,11,2013-11-01
5806,2013,12,2013-12-01
